
> 11tybundle.dev@2.0.0 perf
> DEBUG=Eleventy:Benchmark* npx @11ty/eleventy

Loaded local bundleDB
Fetched bundleRecords: 2580 records
cached starters length: 35 raw starters length: 35
Using cached starter project metadata
firehoseYears: 9 years
postCount: 1649
siteCount: 659
releaseCount: 195
starterCount: 35
authorCount: 484
categoryCount: 51

========================================
TOTAL BUNDLEDATA EXECUTION TIME: 0.18 seconds
========================================

Showcase site count: 1449
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark     25ms   0%   113× (Aggregate) Template Read
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%  2019× (Aggregate) (count) getOutputLocations
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%  4176× (Aggregate) (count) getOutputHref
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%  4176× (Aggregate) (count) getOutputPath
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      5ms   0%  9026× (Aggregate) Template Compile Computed Data
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark    460ms   3% 13453× (Aggregate) Render
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      1ms   0%     1× (Aggregate) > Render Computed Data > ./content/index.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      3ms   0%  2312× (Aggregate) Template Compile Permalink
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      2ms   0%  1449× (Aggregate) > Compile Permalink > ./content/showcase/sites.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark     97ms   1%  1449× (Aggregate) > Render Permalink > ./content/showcase/sites.njk (1449 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      3ms   0%  7245× (Aggregate) > Compile Computed Data > ./content/showcase/sites.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark    279ms   2%  7245× (Aggregate) > Render Computed Data > ./content/showcase/sites.njk (1449 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%    51× (Aggregate) > Compile Permalink > ./content/categories/categorypages.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      2ms   0%    51× (Aggregate) > Render Permalink > ./content/categories/categorypages.njk (51 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%   153× (Aggregate) > Compile Computed Data > ./content/categories/categorypages.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      5ms   0%   153× (Aggregate) > Render Computed Data > ./content/categories/categorypages.njk (51 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%   484× (Aggregate) > Compile Permalink > ./content/authors/authorpages.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark     17ms   0%   484× (Aggregate) > Render Permalink > ./content/authors/authorpages.njk (484 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%  1452× (Aggregate) > Compile Computed Data > ./content/authors/authorpages.njk
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark     43ms   0%  1452× (Aggregate) > Render Computed Data > ./content/authors/authorpages.njk (484 pages)
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Compile Permalink > ./content/blog/2023/11ty-bundle-1.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     4× (Aggregate) > Render Permalink > ./content/blog/2023/11ty-bundle-1.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Compile Computed Data > ./content/blog/2023/11ty-bundle-1.md
2026-02-10T04:36:47.153Z Eleventy:Benchmark Benchmark      0ms   0%     2× (Aggregate) > Render Computed Data > ./content/blog/2023/11ty-bundle-1.md
